Ticker,Date,Open,High,Low,Close
DJUSBK,08/27/2019,411.15,411.15,411.15,411.15
DJUSBK,08/26/2019,415.67,415.67,415.67,415.67
DJUSBK,08/23/2019,411.41,411.41,411.41,411.41
DJUSBK,08/22/2019,423.09,423.09,423.09,423.09
DJUSBK,08/21/2019,419.43,419.43,419.43,419.43
DJUSBK,08/20/2019,417.53,417.53,417.53,417.53
DJUSBK,08/19/2019,424.18,424.18,424.18,424.18
DJUSBK,08/16/2019,419.52,419.52,419.52,419.52
DJUSBK,08/15/2019,408.72,408.72,408.72,408.72
DJUSBK,08/14/2019,410.09,410.09,410.09,410.09
DJUSBK,08/13/2019,427.93,427.93,427.93,427.93
DJUSBK,08/12/2019,423.45,423.45,423.45,423.45
DJUSBK,08/09/2019,432.55,432.55,432.55,432.55
DJUSBK,08/08/2019,433.83,433.83,433.83,433.83
DJUSBK,08/07/2019,426.69,426.69,426.69,426.69
DJUSBK,08/06/2019,435.44,435.44,435.44,435.44
DJUSBK,08/05/2019,430.58,430.58,430.58,430.58
DJUSBK,08/02/2019,446.13,446.13,446.13,446.13
DJUSBK,08/01/2019,447.44,447.44,447.44,447.44
DJUSBK,07/31/2019,463.49,463.49,463.49,463.49
DJUSBK,07/30/2019,464.56,464.56,464.56,464.56
DJUSBK,07/29/2019,462.37,462.37,462.37,462.37
DJUSBK,07/26/2019,466.36,466.36,466.36,466.36
DJUSBK,07/25/2019,460.23,460.23,460.23,460.23
DJUSBK,07/24/2019,464.71,464.71,464.71,464.71
DJUSBK,07/23/2019,458.22,458.22,458.22,458.22
DJUSBK,07/22/2019,450.98,450.98,450.98,450.98
DJUSBK,07/19/2019,449.49,449.49,449.49,449.49
DJUSBK,07/18/2019,450.35,450.35,450.35,450.35
DJUSBK,07/17/2019,446.06,446.06,446.06,446.06
DJUSBK,07/16/2019,447.19,447.19,447.19,447.19
DJUSBK,07/15/2019,449.14,449.14,449.14,449.14
DJUSBK,07/12/2019,454.38,454.38,454.38,454.38
DJUSBK,07/11/2019,451.62,451.62,451.62,451.62
DJUSBK,07/10/2019,447.86,447.86,447.86,447.86
DJUSBK,07/09/2019,451.82,451.82,451.82,451.82
DJUSBK,07/08/2019,449.29,449.29,449.29,449.29
DJUSBK,07/05/2019,452.4,452.4,452.4,452.4
DJUSBK,07/04/2019,448.92,448.92,448.92,448.92
